event,date,round,black,white,result,moves
EGPStockholm,2006.05.28,F1,KashiwabaraTakuji,LeaderImre,31-33,C4E3F6E6F5C5F4G5G6F7E2F2D6F3F8B4H4H6G3G4H3H5H7G2B5C6D7C7B6D8E8C8E7D3D2E1A3G8D1C3C1A4B7G7A6A8B8A7C2B3A5A2H8F1B2B1H2G1
EGPStockholm,2006.05.28,F2,LeaderImre,KashiwabaraTakuji,28-36,D3C5F6F5E6E3C3F3C4B4B5C2A3D6C6B6A6E7C1C7C8F7E2D2F2F4D1B3D7D8A4A5G3B8G4B2E8B7G5F8A8A7G8A2A1G6H6H5H4E1F1H2H3H7G7H8G1H1
EGPStockholm,2006.05.28,F3,KashiwabaraTakuji,LeaderImre,39-25,C4E3F5E6F6C5F4G5G6F7E2F2D6F3G3H3H6G4C3D3H4C7B6E7C6B5B3B4C2D2A5A3D1F1C8D7H5A4A2E1C1B1H2G7G2A7D8F8E8B8H8G1B7H7G8H1A8A6
EGPStockholm,2006.05.28,3/4,AnderssonGoran,BorassiMichele,24-40,C4E3F6E6F5C5C3B4D3E2D6F4C6D2A4D7F3E7F7B6B5A3C2A5E8B3F1E1D1G6A6A7C8G4C7G3H6G5F2F8H5H4B2G2H1G1G7D8G8B7H2H3A8B8A2H8H7B1
Worldchampionship,2007.12.01,F1,NicoletStephane,TominagaKenta,35-29,C4E3F4C5D6F3E6C3D3E2B5B6B3A6B4A5D2C2A4A3D1C6F5F2E1F1G1G5G3G4H5H4H3D7H6E7E8F8G8F7F6G7C7C8H8G6D8H7B8B7A8A7A2B2A1G2H1H2
Worldchampionship,2007.12.01,F2,TominagaKenta,NicoletStephane,37-27,C4C3D3C5D6F4F5E6F6C7B4B3C6E2B5E3F3G4C8A4D2C1E1F2C2D1B1A6A5G6G5H6H3G3F1F7E7D8E8B2F8G7H4D7A1B6H8G8B7H2H7H5H1A7A3A2A8B8
Worldchampionship,2007.12.01,F3,NicoletStephane,TominagaKenta,27-37,C4E3F4C5D6F3E6C3D3E2B5C6D7F6G6F5B4E7F7A4G5G4H3H5G3H6H4H2A3A6B3C2A5A2D2C1F2E1D1F1G2C7B2H7B6A1B1C8D8A7B8E8F8H1G1G7B7A8
Worldchampionship,2007.12.01,3/4,BergMatthias,NakajimaTetsuya,33-31,E6F4C3C4D3D6F6E7C5C6D7E8C7G5F3F2F5G4G3H4G6F7H3H2H5H6C8E3G8C2C1B3D2F8D8B5E2F1A5B6B4B7A4A6A7D1A8B8H7H8G7A2A3B1A1B2E1G2
Worldchampionship,2007.12.01,SF1,NicoletStephane,NakajimaTetsuya,41-23,F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5A5A4A3B6C7F7F3E7A6D8G3C8H4E2F2D2D1C2E1C1B7F1G2H5H6A8G6H1G1H2H3H7G8F8G7A7B8H8E8B2B1
Worldchampionship,2007.12.01,SF1,BergMatthias,TominagaKenta,27-37,D3C5F6F5E6E3C3F3C4B4B5C2D2D6C7C6D7B3B6A6C1D8F4G5E2G4C8B8E7F2A4A2A3E1G6D1H5B1A1B2H3A7G3G2H1H2F1H4F8G7H8H6H7G1B7A8A5E8
