event,date,round,black,white,result,moves
Worldchampionship,2007.11.30,10,HongthongAnon,BarreSebastien,25-39,C4E3F6E6F5C5F4G6F7D6E7F3G5H6B6B5G4H5C7D7C6F8D8A6H3C8B8B4D2G3F2F1H2E2A3D3B3C3A4A5A7C1C2B1G2H4H7E8G8H1D1H8G7A8B7E1G1B2
Worldchampionship,2007.12.01,10,TominagaKenta,NicoletStephane,34-30,F5F6E6F4E3C5C4D3C3F2G5E7G4F3D2G3E2H6H3H4F1D1E1G1B5C2G2D6C6B3H5B4F7A6C7G6F8G7A4D7C1H1H2B2B6A7A5A3D8B1H8H7G8E8C8B7A8B8
Worldchampionship,2007.11.30,11,NicoletStephane,LeaderImre,36-28,F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5A5A4A3B6C7F7F3E7A6D8G3C8H4E2H6D2F2C2C1D1E1B2E8A2F8G8G7G6H8H7A1H5B8A7A8B7H2H3B1H1G1
Worldchampionship,2007.11.30,11,BarreSebastien,TominagaKenta,31-33,F5D6C3D3C4F4E6B3E2C5C6E3D2F6F3C2G3C7G5D7G6D1B4A3B5A6E7F8C8D8B6A5A4F7E1H6C1H5G4F2E8B8B7F1G1H4H3H2G7H7G2G8H8H1A8A7A2B2
Worldchampionship,2007.11.30,12,FangRandy,TominagaKenta,18-46,E6F4E3D6C5F3C4F6F5G4D7C6B5C3D3B4G3D2E7G5F7G6F2E2E1D1C1F1G1A6B3H3H4H5H7C2A3A4H6H8G2G8G7H1A5A2B1A1B2B6H2F8E8D8C8C7A7B8
Worldchampionship,2007.11.30,12,OhnoTomohiro,NicoletStephane,18-46,C4C3D3C5E6E3C6F5C2B4A3B5A4E7F6A6D6B3G5B6F4C7A5A2D7D8F8F3E8G8B8D1E2D2F2G1B1C1E1G4H3G2B2F1H1A1G3F7G7H2B7A7H8G6A8H7H6H5
Worldchampionship,2007.11.30,13,NakajimaTetsuya,LeaderImre,47-17,F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5G4H3H4H5H6H7E8D8C5C6B4G3B5F2B6C7D2G8G2H1G7E3F1H8C8C1E2D1E1G1H2C2B2B1B8B7A8A7A6A5A4A3A1
EGPStockholm,2007.06.03,F1,LeaderImre,SuekuniMakoto,35-29,D3C5F6F5E6E3C3D2F4F3C2G4D1D6E2F2G3H4G1F7H3G6C4B3E7F8C7D7C8G5E8F1E1B1H5H6G2B2C6B6B7D8B4A4C1B5G8A8H7H1B8H8H2G7A1A3A5A7
EGPStockholm,2007.06.03,F2,SuekuniMakoto,LeaderImre,15-49,C4E3F6E6F5C5C3C6D3D2F3B3C1C2E7E1D6E2B5D7B4A4C8A5A6B6A3F2F1F4B1G1G5D8E8G4C7H6G3G6H5H4H2B7H3H1G2B8G7H7A8D1A1A7A2H8G8B2
EGPStockholm,2007.06.03,3/4-1,KashiwabaraTakuji,Ingelman-SundbergSimon,23-41,C4C3D3E3F4C5E2G4G5G3E6F5H3D2F3E7C1H4C2H6B3F6B4A4H5H2D6C7B6B5C6D7A3A6G7G6F7F1E1F2A5G2A7D1D8C8B8B1E8B7G1H1B2F8H7A8A2A1
EGPStockholm,2007.06.03,3/4-2,Ingelman-SundbergSimon,KashiwabaraTakuji,6-58,C4E3F6E6F4C5C6B5D6D3E2C7B6F5F3C3A5E7F7D7F8E8C8G8G5B4D8B8A3A4D2A6A7C2B3D1E1F1B1G6H6H4G4G3F2B2H3H2C1A1G2G1A2A8G7H8B7H7
EGPStockholm,2007.06.03,3/4-3,Ingelman-SundbergSimon,KashiwabaraTakuji,22-42,F5D6C4D3C5B4C3D2B6C6B5E6A3A5C2E2D1A6B3C1B1F6C7E3A4A2E7F4G4G5F7D7B7E8F8G6D8E1F1F2G1F3G3H4H3H2H7A8A7H6G8B8C8H8H5G7H1G2
EGPStockholm,2007.06.02,7,KortendijkAlbert,AspenrydHenry,46-18,C4E3F6E6F5C5C3B4F3D6E2C2E7F2D3F8D7F4G4E1G3D2E8C6B6C7D8A6G8H3F1H4D1G5H6H5H2C1B1F7B7B2A1A2B3A3A4B5A5C8A8H8A7G2B8G1H1G6
EGPStockholm,2007.06.03,8,SuekuniMakoto,TurunenDaniel,44-20,F5F6E6D6C5E3D3C4C3G5F3B5A6F2E2B4B3A4B6C6C7D7A3C8A5F4G3H4F1D2E1C1H3H2G4B2H6G6B7D1G2A2A1H1B1A8C2G1H7A7G7E7B8H8H5G8F8F7
EGPStockholm,2007.06.03,9,SuekuniMakoto,AspenrydHenry,44-20,F5D6C3D3C4F4F6G5E6F7D7C6C7C5E7E3G3F8B6B5E8A6B4A3G8D2H6H4E2C2G6D8C8G4F3F1H5H2H3H7E1D1F2G1B2B3C1B1A1A2H1G2A4B7A8A7B8A5
EGPStockholm,2007.06.03,10,StenbergVeronica,SuekuniMakoto,13-51,F5D6C3D3C4F4E3F3E6F6G4H3G3F2G6H4E7C5E2C6D7G5H6H5H2F7F1B4F8C7B3C8D8E8A4G8B5B6B7A8B8G7H8H7A5A6A7D1D2C1C2E1B1H1G1G2A1B2
EGPStockholm,2007.06.03,11,AnderssonGoran,SuekuniMakoto,21-43,D3C5D6E3F4C6F5C3C4B5E2F2C2F1B4B6E6A3C7D7D2B3C8E8A6E1C1F6F7E7A5F3G3A4F8A7D8G2A2A1H1H3B2B1G1D1H4H5H2G7G6G4G5H6G8H8H7B8
